id,key,value,type
51816663,ref,S104,regular
51816663,oneway,yes,regular
51816663,source,Yahoo hires,regular
51816663,highway,primary,regular
51816664,ref,S104,regular
51816664,layer,1,regular
51816664,bridge,yes,regular
51816664,oneway,yes,regular
51816664,source,Yahoo hires,regular
51816664,highway,primary,regular
51816710,oneway,yes,regular
51816710,source,Yahoo hires,regular
51816710,highway,primary_link,regular
51816762,oneway,yes,regular
51816762,source,Yahoo hires,regular
51816762,highway,primary_link,regular
51816763,oneway,yes,regular
51816763,source,Yahoo hires,regular
51816763,highway,primary_link,regular
51816784,oneway,yes,regular
51816784,source,Yahoo hires,regular
51816784,highway,primary_link,regular
51816786,ref,S104,regular
51816786,oneway,yes,regular
51816786,source,Yahoo hires,regular
51816786,highway,primary,regular
51816810,ref,S104,regular
51816810,oneway,yes,regular
51816810,source,Yahoo hires,regular
51816810,highway,primary,regular
51816811,ref,S104,regular
51816811,layer,1,regular
51816811,bridge,yes,regular
51816811,oneway,yes,regular
51816811,source,Yahoo hires,regular
51816811,highway,primary,regular
51816814,ref,S104,regular
51816814,oneway,yes,regular
51816814,source,Yahoo hires,regular
51816814,highway,primary,regular
51816822,source,Yahoo hires,regular
51816822,natural,water,regular
51816928,ref,G107;G316,regular
51816928,name,解放大道,regular
51816928,lanes,3,regular
51816928,oneway,yes,regular
51816928,source,Yahoo,regular
51816928,highway,primary,regular
51816928,zh,解放大道,name
51816928,zh_pinyin,Jiefang Dadao,name
51817020,ref,G107;G316,regular
51817020,lanes,2,regular
51817020,oneway,yes,regular
51817020,source,Yahoo,regular
51817020,highway,primary,regular
52015250,ref,G50 G70,regular
52015250,lanes,2,regular
52015250,oneway,yes,regular
52015250,source,GPS,regular
52015250,highway,motorway,regular
52015806,ref,G50,regular
52015806,oneway,yes,regular
52015806,source,GPS,regular
52015806,highway,motorway_link,regular
53837210,ref,G4,regular
53837210,name,京珠高速,regular
53837210,lanes,2,regular
53837210,oneway,yes,regular
53837210,source,satellite,regular
53837210,highway,motorway,regular
53837210,int_ref,AH1,regular
53837210,en,Jingzhu Expressway,name
53837212,ref,G4,regular
53837212,name,京珠高速,regular
53837212,lanes,2,regular
